drosophila_ID	aedes_ID	orthotype	OMAgroup
FBgn0002121	AAEL009932	1:1	839243
FBgn0051973	AAEL000067	1:1	
FBgn0031213	AAEL003541	1:1	
FBgn0002931	AAEL008190	1:1	743570
FBgn0031216	AAEL011074	1:1	685646
FBgn0026787	AAEL004485	1:1	547220
FBgn0005278	AAEL004501	1:1	859297
FBgn0031228	AAEL011992	1:1	700170
FBgn0025683	AAEL008672	1:1	548805
FBgn0001142	AAD01201.1	1:1	791568
FBgn0051975	AAEL001899	n:1	
FBgn0051974	AAEL001899	n:1	
FBgn0031227	AAEL010362	1:1	850196
FBgn0031229	AAEL007708	1:1	547093
FBgn0053635	AAEL006010	1:1	842632
FBgn0016977	AAEL009430	1:1	556191
FBgn0031231	AAEL009431	1:1	852200
FBgn0022246	AAEL002232	1:1	817283
FBgn0031238	AAEL002182	1:1	856865
FBgn0031239	AAEL002209	1:1	738466
FBgn0086855	AAEL014020	1:1	739854
FBgn0003444	AAEL006669	1:1	775650
FBgn0031245	AAEL006676	1:1	739631
FBgn0025686	AAEL000662	1:1	773013
FBgn0017457	AAEL006713	1:1	547209
FBgn0024352	AAEL004148	1:1	
FBgn0020622	AAEL013596	1:1	
FBgn0031248	AAEL014188	1:1	
FBgn0031249	AAEL011889	n:m	
FBgn0031249	AAEL011891	n:m	
FBgn0031250	AAEL010123	1:1	712028
FBgn0031251	AAEL012556	1:1	714556
FBgn0264855	AAEL004469	1:1	515687
FBgn0263933	AAEL003539	1:1	547612
FBgn0031252	AAEL003510	1:1	854768
FBgn0002593	AAEL003530	1:m	852398
FBgn0002593	AAEL005027	1:m	
FBgn0031254	AAEL002425	1:1	775036
FBgn0031255	AAEL005133	1:1	547527
FBgn0004583	AAEL008495	1:1	554131
FBgn0015924	AAEL009423	1:1	749613
FBgn0031256	AAEL009946	1:m	
FBgn0031256	AAEL013020	1:m	547239
FBgn0027592	AAEL005022	1:1	845607
FBgn0003963	AAEL003327	1:1	802327
FBgn0010602	AAEL007477	1:m	
FBgn0010602	AAEL009770	1:m	546980
FBgn0031260	AAEL011989	1:1	696131
FBgn0031261	AAEL006535	1:m	637302
FBgn0031261	AAEL006526	1:m	
FBgn0260933	AAEL002943	1:1	657213
FBgn0031263	AAEL004067	1:1	852152
FBgn0021874	AAEL004063	1:1	546983
FBgn0031266	AAEL003605	1:1	530088
FBgn0031267	AAEL002846	1:1	
FBgn0031268	AAEL002512	1:1	766820
FBgn0000497	AAEL000700	1:1	
FBgn0026438	AAEL000714	1:1	507676
FBgn0031275	AAEL007709	1:1	641449
FBgn0041250	AAEL002380	1:1	269036
FBgn0086130	AAEL004456	1:1	548476
FBgn0031281	AAEL007862	1:1	728970
FBgn0031282	AAEL006463	1:1	736694
FBgn0031284	AAEL013206	1:1	
FBgn0031285	AAEL001913	1:1	709730
FBgn0031286	AAEL009303	1:1	548156
FBgn0010583	AAEL013539	1:1	833508
FBgn0020304	AAEL004129	1:1	556399
FBgn0031287	AAEL005145	1:1	742344
FBgn0020545	AAEL013581	1:1	547558
FBgn0031288	AAEL013580	1:1	757796
FBgn0020305	AAEL000708	1:1	811006
FBgn0053526	AAEL001906	1:1	693254
FBgn0002936	AAEL009421	1:1	552062
FBgn0002563	AAEL000765	n:m	
FBgn0002563	AAEL008817	n:m	
FBgn0002563	AAB46714.1	n:m	
FBgn0002563	AAEL013759	n:m	
FBgn0002563	AAB64174.1	n:m	
FBgn0002563	AAEL013983	n:m	
FBgn0002563	AAEL013981	n:m	773922
FBgn0015905	AAEL007237	1:1	498456
FBgn0031298	AAEL007228	1:1	833911
FBgn0261938	AAEL001847	1:1	
FBgn0016926	AAEL007114	1:1	743616
FBgn0031304	AAEL014771	1:1	803154
FBgn0031307	AAEL012522	1:1	548898
FBgn0031308	AAEL012520	1:1	684121
FBgn0031309	AAEL012523	1:1	844937
FBgn0031310	AAEL001733	1:1	831636
FBgn0261458	AAEL013074	1:1	
FBgn0031312	AAEL009647	1:1	
FBgn0031313	AAEL001851	1:1	773327
FBgn0031314	AAEL014546	1:1	783092
FBgn0024314	AAEL006677	1:1	547271
FBgn0051922	AAEL013088	1:m	
FBgn0051922	AAEL014499	1:m	794899
FBgn0031318	AAEL004989	n:1	844459
FBgn0031319	AAEL004989	n:1	
FBgn0031320	AAEL000520	1:m	
FBgn0031320	AAEL000505	1:m	
FBgn0031320	AAEL000515	1:m	
FBgn0031321	AAEL010993	1:m	859725
FBgn0031321	AAEL015117	1:m	
FBgn0031322	AAEL006899	1:1	
FBgn0031324	AAEL010657	1:1	
FBgn0259229	AAEL012737	n:m	
FBgn0259229	AAEL015357	n:m	
FBgn0259229	AAEL005543	n:m	
FBgn0031327	AAEL004022	1:1	776393
FBgn0041097	AAEL006901	1:1	
FBgn0026141	AAEL011478	n:1	
FBgn0053126	AAEL009566	1:m	
FBgn0053126	AAEL009567	1:m	
FBgn0002543	AAEL010961	1:1	609282
FBgn0031344	AAEL003244	1:1	547637
FBgn0261509	AAEL010286	1:1	831903
FBgn0051935	AAEL006591	1:1	501115
FBgn0021906	AAEL003675	1:1	694645
FBgn0011570	AAEL002184	1:1	495587
FBgn0031356	AAEL002694	1:1	665267
FBgn0031357	AAEL009288	1:1	849727
FBgn0086698	AAEL010795	1:1	
FBgn0031359	AAEL012117	1:1	497990
FBgn0000579	AAEL001668	1:1	865433
FBgn0260648	AAEL013103	1:m	
FBgn0260648	AAEL014498	1:m	497611
FBgn0031360	AAEL003959	1:m	
FBgn0031360	AAEL003961	1:m	
FBgn0031361	AAEL009944	1:1	849937
FBgn0264494	AAEL008631	1:1	557283
FBgn0027597	AAEL005958	1:1	737321
FBgn0051663	AAEL005397	1:1	559163
FBgn0031376	AAEL007229	1:1	689448
FBgn0031379	AAEL002386	1:1	859214
FBgn0001125	AAEL002399	1:1	793530
FBgn0031381	AAEL006854	1:1	
FBgn0031384	AAEL006008	1:1	829463
FBgn0259192	AAEL006623	1:1	686449
FBgn0003557	AAEL001205	1:1	739651
FBgn0004507	AAEL000703	1:1	795428
FBgn0031390	AAEL001716	1:1	853891
FBgn0031391	AAEL008052	1:1	666261
FBgn0027509	AAEL005303	1:1	641009
FBgn0031392	AAEL002016	1:1	510567
FBgn0000097	AAEL010488	1:1	267140
FBgn0031395	AAEL006001	1:1	
FBgn0085201	AAEL006000	1:1	335599
FBgn0051668	AAEL001198	n:1	
FBgn0053124	AAEL001198	n:1	
FBgn0031397	AAEL013070	1:1	789711
FBgn0010288	AAEL012807	1:m	
FBgn0010288	AAEL013052	1:m	834115
FBgn0085203	AAEL006900	1:1	752291
FBgn0031398	AAEL004541	1:1	
FBgn0031399	AAEL006925	1:m	
FBgn0031399	AAEL014002	1:m	840726
FBgn0031401	AAEL013072	1:1	850540
FBgn0031403	AAEL004276	1:1	813180
FBgn0267378	AAEL004973	1:1	
FBgn0262126	AAEL004977	1:1	547081
FBgn0031412	AAEL008473	1:m	
FBgn0031412	AAEL008487	1:m	
FBgn0031412	AAEL008488	1:m	550789
FBgn0031413	AAEL007859	1:1	811497
FBgn0031414	AAEL007856	1:1	554509
FBgn0014010	AAEL007845	1:1	522100
FBgn0031418	AAEL009951	1:1	737318
FBgn0031419	AAEL002179	1:1	845052
FBgn0264672	AAEL007982	1:1	531424
FBgn0031422	AAEL006445	n:1	
FBgn0031424	AAEL001867	1:1	547524
FBgn0031426	AAEL001878	1:1	721078
FBgn0085476	AAEL001837	1:1	762694
FBgn0031428	AAEL001870	1:1	843087
FBgn0000490	AAEL001876	1:1	
FBgn0264978	AAEL001859	1:1	738122
FBgn0026778	AAEL009701	1:1	703478
FBgn0031436	AAEL001164	1:1	
FBgn0031437	AAEL009059	1:1	693030
FBgn0026479	AAEL009068	1:1	811179
FBgn0031440	AAEL008088	1:1	
FBgn0031449	AAEL013372	1:1	549120
FBgn0031450	AAEL005339	1:1	547905
FBgn0031452	AAEL002384	1:1	547384
FBgn0250906	AAEL004988	1:1	865920
FBgn0031455	AAEL014280	1:1	
FBgn0031454	AAEL008623	1:1	858387
FBgn0031456	AAEL003573	1:1	846978
FBgn0031457	AAEL010731	1:1	822728
FBgn0031458	AAEL002389	1:1	840753
FBgn0026324	AAEL005742	n:1	720946
FBgn0028398	AAEL005742	n:1	
FBgn0031459	AAEL011468	1:m	
FBgn0031459	AAEL012200	1:m	851443
FBgn0031463	AAEL004295	1:1	772944
FBgn0031464	AAEL007563	1:1	548147
FBgn0031473	AAEL004495	1:1	
FBgn0015521	AAEL000529	1:1	796923
FBgn0031474	AAEL004534	1:1	751534
FBgn0051694	AAEL002175	1:1	817885
FBgn0031478	AAEL006189	1:1	815717
FBgn0031479	AAEL009051	1:1	546930
FBgn0051950	AAEL008228	1:1	
FBgn0028970	AAEL001334	1:1	844091
FBgn0024947	AAEL005662	1:1	742254
FBgn0010263	AAEL006675	n:m	
FBgn0010263	AAEL008516	n:m	
FBgn0010263	AAEL010567	n:m	
FBgn0024920	AAEL013305	1:1	859659
FBgn0004584	AAEL010781	1:1	563807
FBgn0260639	AAEL013064	1:1	696184
FBgn0031484	AAEL000049	1:1	721015
FBgn0031485	AAEL000284	1:1	778402
FBgn0250786	AAEL004716	1:1	
FBgn0025109	AAEL002636	1:1	547119
FBgn0002989	AAEL002647	1:1	547058
FBgn0025681	AAEL010515	1:m	
FBgn0025681	AAEL005291	1:m	802303
FBgn0031490	AAEL007147	1:1	
FBgn0031491	AAEL005019	1:1	738419
FBgn0031492	AAEL005025	1:1	547242
FBgn0031493	AAEL006725	1:1	851193
FBgn0031494	AAEL006009	1:1	853864
FBgn0031495	AAEL005023	1:1	514623
FBgn0031496	AAEL005021	1:1	767558
FBgn0031497	AAEL005037	1:1	844723
FBgn0031498	AAEL005139	1:1	804616
FBgn0243513	AAEL010119	1:1	860023
FBgn0031500	AAEL001183	1:1	786336
FBgn0027571	AAEL001194	1:1	547257
FBgn0031505	AAEL005946	1:1	791499
FBgn0011648	AAEL005513	1:1	831957
FBgn0260817	AAEL015141	1:1	843590
FBgn0014906	AAEL014949	1:1	792029
FBgn0264744	AAEL007445	1:1	
FBgn0031514	AAEL004687	1:1	793014
FBgn0031515	AAEL008627	1:1	554985
FBgn0031516	AAEL008629	1:1	549966
FBgn0031517	AAEL007138	n:m	
FBgn0031517	AAEL007126	n:m	
FBgn0031517	AAEL007131	n:m	
FBgn0031517	AAEL007128	n:m	
FBgn0031517	AAEL007139	n:m	
FBgn0031517	AAEL011368	n:m	
FBgn0031519	AAEL009254	1:1	848851
FBgn0053281	AAEL007138	n:m	
FBgn0053281	AAEL007126	n:m	549669
FBgn0053281	AAEL007131	n:m	
FBgn0053281	AAEL007128	n:m	
FBgn0053281	AAEL007139	n:m	
FBgn0053281	AAEL011368	n:m	
FBgn0053282	AAEL007138	n:m	
FBgn0053282	AAEL007126	n:m	
FBgn0053282	AAEL007131	n:m	
FBgn0053282	AAEL007128	n:m	
FBgn0053282	AAEL007139	n:m	
FBgn0053282	AAEL011368	n:m	
FBgn0031522	AAEL007138	n:m	
FBgn0031522	AAEL007126	n:m	
FBgn0031522	AAEL007131	n:m	
FBgn0031522	AAEL007128	n:m	557611
FBgn0031522	AAEL007139	n:m	
FBgn0031522	AAEL011368	n:m	
FBgn0031523	AAEL007138	n:m	
FBgn0031523	AAEL007126	n:m	
FBgn0031523	AAEL007131	n:m	
FBgn0031523	AAEL007128	n:m	
FBgn0031523	AAEL007139	n:m	
FBgn0031523	AAEL011368	n:m	
FBgn0031528	AAEL003018	1:1	822376
FBgn0031529	AAEL002198	1:1	665436
FBgn0016698	AAEL001182	1:1	843106
FBgn0031530	AAEL011095	1:1	677261
FBgn0031533	AAEL012407	n:m	
FBgn0031533	AAEL013368	n:m	
FBgn0031533	AAEL013365	n:m	
FBgn0031533	AAEL002907	n:m	
FBgn0031534	AAEL005655	1:1	808963
FBgn0031535	AAEL009931	1:m	
FBgn0031535	AAEL014531	1:m	650502
FBgn0031536	AAEL008135	1:1	813007
FBgn0266670	AAEL009926	1:1	785934
FBgn0031538	AAEL009927	1:1	752305
FBgn0021967	AAEL001865	1:1	823507
FBgn0051956	AAEL000646	1:m	
FBgn0051956	AAEL000639	1:m	677478
FBgn0261560	AAEL001864	1:1	
FBgn0031542	AAEL006410	1:1	716473
FBgn0014396	AAEL006411	1:1	777232
FBgn0051954	AAEL006425	n:m	558807
FBgn0051954	AAEL007601	n:m	
FBgn0051954	AAEL010196	n:m	
FBgn0051954	AAEL010195	n:m	
FBgn0051954	AAEL012852	n:m	
FBgn0051954	AAEL013712	n:m	
FBgn0051954	AAEL013715	n:m	
FBgn0051954	AAEL013707	n:m	
FBgn0053123	AAEL006415	1:1	490199
FBgn0031544	AAEL014345	1:1	752070
FBgn0031547	AAEL006361	1:1	660118
FBgn0031550	AAEL008327	1:1	542320
FBgn0024244	AAEL004283	1:1	555219
FBgn0004892	AAEL007453	1:1	559956
FBgn0002985	AAEL007450	1:1	559356
FBgn0015376	AAEL008320	1:1	839070
FBgn0031566	AAEL014352	1:1	650577
FBgn0003386	AAEL007146	1:1	710835
FBgn0263846	AAEL009135	1:1	740930
FBgn0031571	AAEL001914	1:1	814046
FBgn0021800	AAEL001888	1:1	335504
FBgn0004567	AAEL001912	1:1	269037
FBgn0051957	AAEL003174	1:1	499085
FBgn0000256	AAEL003162	1:1	556858
FBgn0000547	AAEL003169	1:1	796468
FBgn0014033	AAEL006355	n:1	554124
FBgn0051961	AAEL006530	1:1	495491
FBgn0031590	AAEL006519	1:1	832832
FBgn0003941	AAEL006511	1:1	754152
FBgn0028482	AAEL014457	1:m	552983
FBgn0028482	AAEL003586	1:m	
FBgn0020762	AAEL008138	1:1	547468
FBgn0031596	AAEL013073	1:1	
FBgn0026319	AAEL006649	1:1	716064
FBgn0031598	AAEL013470	1:m	
FBgn0031598	AAEL014095	1:m	514977
FBgn0261976	AAEL006660	1:1	530792
FBgn0027560	AAEL006446	1:1	783549
FBgn0031600	AAEL006450	1:1	851136
FBgn0022153	AAEL012861	1:1	
