rat_ID	rat_bis_ID	orthotype	OMAgroup
ENSRNOG00000033426	ENSRNOG00000033426	1:1	
ENSRNOG00000034242	ENSRNOG00000034242	1:1	
ENSRNOG00000013741	ENSRNOG00000013741	1:1	
ENSRNOG00000020513	ENSRNOG00000020513	1:1	
ENSRNOG00000010067	ENSRNOG00000010067	1:1	
ENSRNOG00000018091	ENSRNOG00000018091	1:1	
ENSRNOG00000057623	ENSRNOG00000057623	1:1	
ENSRNOG00000012999	ENSRNOG00000012999	1:1	
ENSRNOG00000009960	ENSRNOG00000009960	1:1	
ENSRNOG00000009090	ENSRNOG00000009090	1:1	
ENSRNOG00000003495	ENSRNOG00000003495	1:1	
ENSRNOG00000000701	ENSRNOG00000000701	1:1	
ENSRNOG00000019987	ENSRNOG00000019987	1:1	
ENSRNOG00000017158	ENSRNOG00000017158	1:1	
ENSRNOG00000000557	ENSRNOG00000000557	1:1	
ENSRNOG00000013545	ENSRNOG00000013545	1:1	
ENSRNOG00000019164	ENSRNOG00000019164	1:1	
ENSRNOG00000014058	ENSRNOG00000014058	1:1	
ENSRNOG00000009042	ENSRNOG00000009042	1:1	
ENSRNOG00000007512	ENSRNOG00000007512	1:1	
ENSRNOG00000022448	ENSRNOG00000022448	1:1	
ENSRNOG00000005184	ENSRNOG00000005184	1:1	
ENSRNOG00000045791	ENSRNOG00000045791	1:1	
ENSRNOG00000014633	ENSRNOG00000014633	1:1	
ENSRNOG00000036686	ENSRNOG00000036686	1:1	
ENSRNOG00000023946	ENSRNOG00000023946	1:1	
ENSRNOG00000022323	ENSRNOG00000022323	1:1	
ENSRNOG00000014429	ENSRNOG00000014429	1:1	
ENSRNOG00000003551	ENSRNOG00000003551	1:1	
ENSRNOG00000002940	ENSRNOG00000002940	1:1	
ENSRNOG00000014305	ENSRNOG00000014305	1:1	
ENSRNOG00000049223	ENSRNOG00000049223	1:1	
ENSRNOG00000009689	ENSRNOG00000009689	1:1	
ENSRNOG00000013255	ENSRNOG00000013255	1:1	
ENSRNOG00000057774	ENSRNOG00000057774	1:1	
ENSRNOG00000004723	ENSRNOG00000004723	1:1	
ENSRNOG00000050932	ENSRNOG00000050932	1:1	
ENSRNOG00000012751	ENSRNOG00000012751	1:1	
ENSRNOG00000052289	ENSRNOG00000052289	1:1	
ENSRNOG00000027015	ENSRNOG00000027015	1:1	
ENSRNOG00000007732	ENSRNOG00000007732	1:1	
ENSRNOG00000010420	ENSRNOG00000010420	1:1	
ENSRNOG00000002100	ENSRNOG00000002100	1:1	
ENSRNOG00000013845	ENSRNOG00000013845	1:1	
ENSRNOG00000055756	ENSRNOG00000055756	1:1	
ENSRNOG00000002112	ENSRNOG00000002112	1:1	
ENSRNOG00000019970	ENSRNOG00000019970	1:1	
ENSRNOG00000021158	ENSRNOG00000021158	1:1	
ENSRNOG00000029415	ENSRNOG00000029415	1:1	
ENSRNOG00000018007	ENSRNOG00000018007	1:1	
ENSRNOG00000000133	ENSRNOG00000000133	1:1	
ENSRNOG00000005355	ENSRNOG00000005355	1:1	
ENSRNOG00000008672	ENSRNOG00000008672	1:1	
ENSRNOG00000009406	ENSRNOG00000009406	1:1	
ENSRNOG00000016063	ENSRNOG00000016063	1:1	
ENSRNOG00000012263	ENSRNOG00000012263	1:1	
ENSRNOG00000048719	ENSRNOG00000048719	1:1	
ENSRNOG00000011728	ENSRNOG00000011728	1:1	
ENSRNOG00000057756	ENSRNOG00000057756	1:1	
ENSRNOG00000019201	ENSRNOG00000019201	1:1	
ENSRNOG00000037327	ENSRNOG00000037327	1:1	
ENSRNOG00000014581	ENSRNOG00000014581	1:1	
ENSRNOG00000060206	ENSRNOG00000060206	1:1	
ENSRNOG00000021224	ENSRNOG00000021224	1:1	
ENSRNOG00000001126	ENSRNOG00000001126	1:1	
ENSRNOG00000005551	ENSRNOG00000005551	1:1	
ENSRNOG00000005281	ENSRNOG00000005281	1:1	
ENSRNOG00000001454	ENSRNOG00000001454	1:1	
ENSRNOG00000015301	ENSRNOG00000015301	1:1	
ENSRNOG00000009402	ENSRNOG00000009402	1:1	
ENSRNOG00000014252	ENSRNOG00000014252	1:1	
ENSRNOG00000007446	ENSRNOG00000007446	1:1	
ENSRNOG00000018475	ENSRNOG00000018475	1:1	
ENSRNOG00000004300	ENSRNOG00000004300	1:1	
ENSRNOG00000059875	ENSRNOG00000059875	1:1	
ENSRNOG00000008469	ENSRNOG00000008469	1:1	
ENSRNOG00000037595	ENSRNOG00000037595	1:1	
ENSRNOG00000014480	ENSRNOG00000014480	1:1	
ENSRNOG00000060750	ENSRNOG00000060750	1:1	
ENSRNOG00000009402	ENSRNOG00000009402	1:1	
ENSRNOG00000008734	ENSRNOG00000008734	1:1	
ENSRNOG00000001139	ENSRNOG00000001139	1:1	
ENSRNOG00000018977	ENSRNOG00000018977	1:1	
ENSRNOG00000007527	ENSRNOG00000007527	1:1	
ENSRNOG00000001032	ENSRNOG00000001032	1:1	
ENSRNOG00000058105	ENSRNOG00000058105	1:1	
ENSRNOG00000002911	ENSRNOG00000002911	1:1	
ENSRNOG00000002911	ENSRNOG00000002911	1:1	
ENSRNOG00000031840	ENSRNOG00000031840	1:1	
ENSRNOG00000001148	ENSRNOG00000001148	1:1	
ENSRNOG00000020674	ENSRNOG00000020674	1:1	
ENSRNOG00000012840	ENSRNOG00000012840	1:1	
ENSRNOG00000012840	ENSRNOG00000012840	1:1	
ENSRNOG00000008176	ENSRNOG00000008176	1:1	
ENSRNOG00000022619	ENSRNOG00000022619	1:1	
ENSRNOG00000020196	ENSRNOG00000020196	1:1	
ENSRNOG00000005695	ENSRNOG00000005695	1:1	
ENSRNOG00000018645	ENSRNOG00000018645	1:1	
ENSRNOG00000017628	ENSRNOG00000017628	1:1	
ENSRNOG00000020369	ENSRNOG00000020369	1:1	
ENSRNOG00000020955	ENSRNOG00000020955	1:1	
ENSRNOG00000018087	ENSRNOG00000018087	1:1	
ENSRNOG00000048812	ENSRNOG00000048812	1:1	
ENSRNOG00000023546	ENSRNOG00000023546	1:1	
ENSRNOG00000003520	ENSRNOG00000003520	1:1	
ENSRNOG00000043451	ENSRNOG00000043451	1:1	
ENSRNOG00000001049	ENSRNOG00000001049	1:1	
ENSRNOG00000010362	ENSRNOG00000010362	1:1	
ENSRNOG00000030019	ENSRNOG00000030019	1:1	
ENSRNOG00000013009	ENSRNOG00000013009	1:1	
ENSRNOG00000024128	ENSRNOG00000024128	1:1	
ENSRNOG00000000938	ENSRNOG00000000938	1:1	
ENSRNOG00000010958	ENSRNOG00000010958	1:1	
ENSRNOG00000033734	ENSRNOG00000033734	1:1	
ENSRNOG00000055962	ENSRNOG00000055962	1:1	
ENSRNOG00000017123	ENSRNOG00000017123	1:1	
ENSRNOG00000029512	ENSRNOG00000029512	1:1	
ENSRNOG00000016275	ENSRNOG00000016275	1:1	
ENSRNOG00000007235	ENSRNOG00000007235	1:1	
ENSRNOG00000019810	ENSRNOG00000019810	1:1	
