ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.00280034921050539	0.195934931838419	0.0180933357136605	22	10	NA
ENSPANG00000000041	0.00316872293914013	0.201862687110424	0.0183380201574183	22	2	NA
ENSPANG00000000053	0.00983357624551015	0.985980551778978	0.0291116435995301	20	2	NA
ENSPANG00000000059	0.0845070178017905	0.960632724992084	0.103318199196239	20	2	NA
ENSPANG00000000060	0.0226358173943805	0.993333888577876	0.042997936900357	24	4	NA
ENSPANG00000000062	0.0411879066987355	0.985697276991192	0.061132457757588	20	12	NA
ENSPANG00000000063	0.0676775965287193	0.89399193453281	0.0862112139526619	20	6	NA
ENSPANG00000000071	0.000142253547407624	0.0176394398785454	0.00633827463196554	24	6	NA
ENSPANG00000000072	0.0252775461825372	0.939856775132091	0.0459018245618094	24	2	NA
ENSPANG00000000085	0.00794789043336546	0.969299581279095	0.0255817260216508	20	2	NA
ENSPANG00000000090	0.0128621886975641	0.554906837309198	0.0328323201031158	24	6	NA
ENSPANG00000000093	0.0676775965287193	0.999844695880706	0.0862112139526619	20	18	NA
ENSPANG00000000094	0.0293594320951791	0.999502650179426	0.0504768384883732	20	10	NA
ENSPANG00000000102	0.000354575010013283	0.138284253905181	0.00877421031018829	20	12	NA
ENSPANG00000000103	0.0133228695896793	0.722956756039646	0.0330353849353592	20	14	NA
ENSPANG00000000107	0.0703291095939224	0.999785887787955	0.0884102342985257	20	2	NA
ENSPANG00000000112	0.0339614208607086	0.970921263673906	0.0553076034591951	20	20	NA
ENSPANG00000000116	0.0149135150185756	0.703400748313956	0.0341076318986663	24	12	NA
ENSPANG00000000117	0.0247416752192255	0.983503213709181	0.0459018245618094	20	6	NA
ENSPANG00000000122	0.000352542136986914	0.0846564650580201	0.00877421031018829	20	18	NA
ENSPANG00000000123	0.00831865734583751	0.798001845817229	0.0255817260216508	24	10	NA
ENSPANG00000000126	0.00210793968624897	0.423348824551076	0.0150488861980522	20	8	NA
ENSPANG00000000127	0.060873977806246	0.965505278848369	0.0797475252694643	24	8	NA
ENSPANG00000000131	0.0126861500259305	0.993191369667594	0.0328323201031158	24	22	NA
ENSPANG00000000132	0.00629108150408866	0.181893260826867	0.0247687653730937	22	14	NA
ENSPANG00000000141	0.0128621886975641	0.525949874751781	0.0328323201031158	24	6	NA
ENSPANG00000000142	0.0919721175741655	0.962567612502371	0.109269548507118	20	16	NA
ENSPANG00000000147	0.0469740743993218	0.946294057999748	0.0669454418797882	20	4	NA
ENSPANG00000000165	0.981959955124851	1	0.99222547214641	26	10	NA
ENSPANG00000000171	0.356875860763403	0.985231578424451	0.390505305148255	24	18	NA
ENSPANG00000000174	0.636385518542242	1	0.683204541124673	20	6	NA
ENSPANG00000000175	0.0235687269585928	0.992052109566634	0.0443314534586979	20	4	NA
ENSPANG00000000181	0.0208365154416913	0.991828899397463	0.042997936900357	20	2	NA
ENSPANG00000000187	0.0407283795659227	0.991681342654162	0.0610304262865675	24	8	NA
ENSPANG00000000188	0.0126861500259305	0.358377332428857	0.0328323201031158	24	20	NA
ENSPANG00000000194	0.0900830503451894	0.939800162305549	0.108884961104579	20	6	NA
ENSPANG00000000195	0.0469740743993218	0.966174091800082	0.0669454418797882	20	2	NA
ENSPANG00000000200	0.00414556015670872	0.357692919803898	0.0193447966423231	24	18	NA
ENSPANG00000000205	0.00325788304145788	0.256598584283142	0.0183380201574183	24	22	NA
ENSPANG00000000206	0.98632829609722	1	0.99222547214641	20	6	NA
ENSPANG00000000209	0.000911324693359103	0.0530580285098451	0.0118941010438407	22	14	NA
ENSPANG00000000210	0.0363248142385379	0.963805267536341	0.0583984238652132	20	20	NA
ENSPANG00000000217	0.00521337946391504	0.663862354541012	0.0219874036311142	20	16	NA
ENSPANG00000000222	0.989639582983395	1	0.99222547214641	22	4	NA
ENSPANG00000000228	0.926368765462284	0.99991091829322	0.963355494510113	20	20	NA
ENSPANG00000000239	0.0205390596894878	0.917585675060366	0.042997936900357	26	24	NA
ENSPANG00000000242	0.0469740743993218	0.906364683881574	0.0669454418797882	20	10	NA
ENSPANG00000000243	0.060873977806246	0.972957893519522	0.0797475252694643	24	20	NA
ENSPANG00000000246	0.000761786087497268	0.118573702705425	0.0114970988771472	22	16	NA
ENSPANG00000000247	0.000218305553933707	0.0202542986924525	0.00662096117876952	24	16	NA
ENSPANG00000000253	0.00747649673175778	0.770821696449954	0.025579664138901	20	10	NA
ENSPANG00000000257	0.00666611142212438	0.382299970903895	0.0247687653730937	24	20	NA
ENSPANG00000000258	0.0381125005581066	0.987313849974069	0.0583984238652132	24	16	NA
ENSPANG00000000263	0.794745523431577	1	0.840528970040784	26	18	NA
ENSPANG00000000264	0.0349419723621451	0.981313429406614	0.0566196307700833	20	4	NA
ENSPANG00000000267	0.012194413849464	0.747917911155876	0.0328323201031158	20	18	NA
ENSPANG00000000268	0.0192066895610026	0.982112132553181	0.0415176491982316	22	8	NA
ENSPANG00000000270	0.00521337946391504	0.61315223656879	0.0219874036311142	20	2	NA
ENSPANG00000000271	0.0262828879197658	0.98141821009046	0.0467009261995435	24	4	NA
ENSPANG00000000274	0.060873977806246	0.945310189523466	0.0797475252694643	24	14	NA
ENSPANG00000000275	0.0210240120665089	0.986336709647277	0.042997936900357	24	22	NA
ENSPANG00000000276	0.67662867283571	0.999858586387206	0.724202699630232	22	2	NA
ENSPANG00000000277	0.0924309559049531	0.938920338067282	0.109269548507118	24	12	NA
ENSPANG00000000279	0.0575587521782754	0.952592051504462	0.0783553833721082	20	2	NA
ENSPANG00000000281	0.0235687269585928	0.985937794502069	0.0443314534586979	20	18	NA
ENSPANG00000000282	0.131114716981322	0.915802927344975	0.148871985737847	24	18	NA
ENSPANG00000000283	0.0845070178017905	0.914376659092954	0.103318199196239	20	2	NA
ENSPANG00000000284	0.00146575972908646	0.113877771316011	0.0134237187198438	24	20	NA
ENSPANG00000000290	0.0037381793323459	0.446480028163302	0.0193447966423231	22	2	NA
ENSPANG00000000291	0.00923809580430327	0.985392199669507	0.0280986913993976	22	4	NA
ENSPANG00000000294	0.0226358173943805	0.656625889568479	0.042997936900357	24	6	NA
ENSPANG00000000295	0.0509331924145746	0.978249413057595	0.0701791433356482	20	16	NA
ENSPANG00000000300	0.000598977205208079	0.0390640232361704	0.00959587732173086	24	10	NA
ENSPANG00000000301	0.0226358173943805	0.993333888577876	0.042997936900357	24	4	NA
