baboon_ID	human_ID	orthotype	OMAgroup
ENSPANG00000022910	AAF70205	1:1	736931
ENSPANG00000004306	AAA35513	1:1	657379
ENSPANG00000015064	AAA51553	1:1	854202
ENSPANG00000018167	AAH43568	1:1	824668
ENSPANG00000021871	ENSG00000109758.8	1:1	561184
ENSPANG00000016251	AAB84007	1:1	818554
ENSPANG00000012405	ENSG00000188981.10	1:1	754835
ENSPANG00000015062	AAB04045	1:1	550365
ENSPANG00000009642	AAB97011	1:1	864996
ENSPANG00000018032	ENSG00000109736.14	1:1	546942
ENSPANG00000018890	AAB05645	1:1	834380
ENSPANG00000021586	AAB59973	1:1	817933
ENSPANG00000019351	AAH02740	1:1	851647
ENSPANG00000006875	ENSG00000125386.15	1:1	851642
ENSPANG00000013408	AAC52022	n:1	
ENSPANG00000001128	AAH53664	1:1	831738
ENSPANG00000024535	AAB97009	1:1	811477
ENSPANG00000007327	AAB97010	1:1	797958
ENSPANG00000000640	AAN52116	1:1	637815
ENSPANG00000024534	AAH93906	1:1	642864
ENSPANG00000019016	ENSG00000185049.13	1:1	846069
ENSPANG00000024554	AAD13138	1:1	741080
ENSPANG00000024533	AAA52450	1:1	550182
ENSPANG00000007581	AAD25964	1:1	782096
ENSPANG00000005178	AAI26371	1:1	830338
ENSPANG00000004932	ENSG00000163950.12	1:1	796758
ENSPANG00000020344	AAH70112	1:1	832007
ENSPANG00000006703	CAA54282	1:1	270015
ENSPANG00000019190	AAH21930	1:1	696435
ENSPANG00000024432	ENSG00000090316.15	1:1	857760
ENSPANG00000005494	AAC62822	1:1	863587
ENSPANG00000013162	ENSG00000159674.11	1:1	553769
ENSPANG00000011989	AAH36250	1:1	716335
ENSPANG00000024956	AAH36769	1:1	549497
ENSPANG00000007828	AAA51698	1:1	790315
ENSPANG00000016992	AAG22075	1:1	771358
ENSPANG00000018060	AAA98749	1:1	518126
ENSPANG00000020176	AAH05158	1:1	763475
ENSPANG00000011910	AAH00816	1:1	838583
ENSPANG00000017461	AAB72108	1:1	790934
ENSPANG00000018511	AAI07062	1:1	756360
ENSPANG00000008234	AAH30246	1:1	549101
ENSPANG00000011909	AAA59890	1:1	556379
ENSPANG00000008603	AAH03679	1:1	733119
ENSPANG00000019722	AAB22690	1:1	792124
ENSPANG00000015129	AAH00937	1:1	842076
ENSPANG00000017246	BAB85568	1:1	
ENSPANG00000017247	AAC37529	1:1	571252
ENSPANG00000017248	CAD97883	1:1	574862
ENSPANG00000000106	BAG59196	1:1	274857
ENSPANG00000012551	AAI26153	1:1	494614
ENSPANG00000013127	AAD19694	1:1	799542
ENSPANG00000018595	AAB33944	1:1	706342
ENSPANG00000013126	AAD51612	1:1	548759
ENSPANG00000011783	AAL11442	1:1	749431
ENSPANG00000021265	AAH89443	1:1	776919
ENSPANG00000018973	AAH94777	1:1	548167
ENSPANG00000011026	AAH04874	1:1	734468
ENSPANG00000019349	AAH00675	1:1	851210
ENSPANG00000000591	AAH34304	1:1	858198
ENSPANG00000000592	AAH98429	1:1	833078
ENSPANG00000005236	BAC05873	1:1	266871
ENSPANG00000009496	AAB65242	1:1	851336
ENSPANG00000026092	AAH06213	1:1	830829
ENSPANG00000026224	AAH22808	1:1	309425
ENSPANG00000011414	AAH16333	1:1	552372
ENSPANG00000015802	AAH09515	1:1	811510
ENSPANG00000017689	ENSG00000235098.8	1:1	555245
ENSPANG00000006170	AAH03543	1:1	824625
ENSPANG00000019011	AAH02542	1:m	
ENSPANG00000019011	AAH07803	1:m	848767
ENSPANG00000014200	AAI47019	1:1	774856
ENSPANG00000018301	AAF29145	1:1	727216
ENSPANG00000006278	ENSG00000228594.3	1:1	721035
ENSPANG00000018509	ENSG00000197530.12	1:1	826313
ENSPANG00000007580	AAC62616	1:1	829952
