ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.108680555555556	1	0.176103411680245	30	1	233.527311761851
ENSMUSG00000000028	0.0610119047619048	0.732142857142857	0.140879370162797	24	10	6.68151678654904
ENSMUSG00000000037	0.108680555555556	1	0.176103411680245	30	19	3.33507026692656
ENSMUSG00000000049	0.108680555555556	1	0.176103411680245	30	13	17.3141122558108
ENSMUSG00000000056	0.0311507936507937	0.373809523809524	0.119493090962832	18	7	17.1385068924213
ENSMUSG00000000058	0.108680555555556	1	0.176103411680245	18	7	857.674382240712
ENSMUSG00000000078	0.0141369047619048	0.169642857142857	0.106497605572486	30	19	33.5442777257108
ENSMUSG00000000085	0.178869047619048	1	0.23010556835923	30	19	47.2046397482109
ENSMUSG00000000088	0.178869047619048	1	0.23010556835923	18	10	112.51050507683
ENSMUSG00000000093	0.178869047619048	1	0.23010556835923	24	4	380.948041278845
ENSMUSG00000000094	0.0311507936507937	0.373809523809524	0.119493090962832	18	1	130.874483395678
ENSMUSG00000000103	0.336929563492063	1	0.376654122790016	24	22	0.189156719433906
ENSMUSG00000000120	0.0610119047619048	0.732142857142857	0.140879370162797	30	1	1.61306148194984
ENSMUSG00000000125	0.0311507936507937	0.373809523809524	0.119493090962832	18	10	0.653362726634371
ENSMUSG00000000126	0.00550595238095238	0.0660714285714286	0.0970213849287169	24	7	31.79526777281
ENSMUSG00000000127	0.00550595238095238	0.0660714285714286	0.0970213849287169	18	7	27.1666976917134
ENSMUSG00000000131	0.108680555555556	1	0.176103411680245	18	16	38.6873318015268
ENSMUSG00000000134	0.398759920634921	1	0.421459911230557	30	7	26.7840457472307
ENSMUSG00000000142	0.0610119047619048	0.732142857142857	0.140879370162797	24	13	110.510272993474
ENSMUSG00000000148	0.108680555555556	1	0.176103411680245	30	1	63.3121207688394
ENSMUSG00000000149	0.0610119047619048	0.732142857142857	0.140879370162797	18	1	216.369088853621
ENSMUSG00000000154	0.178869047619048	1	0.23010556835923	30	7	21.6669349639867
ENSMUSG00000000157	0.0226438492063492	0.27172619047619	0.119493090962832	30	7	0.721959063949304
ENSMUSG00000000159	0.108680555555556	1	0.176103411680245	30	16	11.8615351825211
ENSMUSG00000000167	0.108680555555556	1	0.176103411680245	18	13	30.1802662752996
ENSMUSG00000000168	0.108680555555556	1	0.176103411680245	18	13	63.0812944964565
ENSMUSG00000000171	0.108680555555556	1	0.176103411680245	30	1	174.999893451933
ENSMUSG00000000184	0.0141369047619048	0.169642857142857	0.106497605572486	24	1	220.434674161244
ENSMUSG00000000194	0.0311507936507937	0.373809523809524	0.119493090962832	30	25	140.110392506986
ENSMUSG00000000197	0.00173611111111111	0.0208333333333333	0.0970213849287169	24	13	3.78867705889776
ENSMUSG00000000202	0.548412698412698	1	0.55070411637264	30	4	1.60213867248187
ENSMUSG00000000204	0.00550595238095238	0.0660714285714286	0.0970213849287169	30	22	13.1657313703999
ENSMUSG00000000214	0.47358630952381	1	0.484506178313823	0	NA	0
ENSMUSG00000000215	0.47358630952381	1	0.484506178313823	0	NA	0
ENSMUSG00000000216	0.0311507936507937	0.373809523809524	0.119493090962832	24	7	116.884537080525
ENSMUSG00000000223	0.178869047619048	1	0.23010556835923	24	10	4.1604748847627
ENSMUSG00000000244	0.0610119047619048	0.732142857142857	0.140879370162797	24	4	13.9245322742089
ENSMUSG00000000247	0.0610119047619048	0.732142857142857	0.140879370162797	18	1	0.458589759976797
ENSMUSG00000000248	0.0610119047619048	0.732142857142857	0.140879370162797	30	19	0.326681363317185
ENSMUSG00000000253	0.178869047619048	1	0.23010556835923	24	16	18.2617311257613
ENSMUSG00000000266	0.00550595238095238	0.0660714285714286	0.0970213849287169	24	1	90.1280558364236
ENSMUSG00000000275	0.275099206349206	1	0.310158761184953	30	4	137.637779421117
ENSMUSG00000000276	0.178869047619048	1	0.23010556835923	18	13	42.635290780414
ENSMUSG00000000278	0.0610119047619048	0.732142857142857	0.140879370162797	30	13	20.7127193782703
ENSMUSG00000000282	0.0610119047619048	0.732142857142857	0.140879370162797	30	16	59.3728444005944
ENSMUSG00000000290	0.0311507936507937	0.373809523809524	0.119493090962832	30	13	38.5791841820261
ENSMUSG00000000295	0.275099206349206	1	0.310158761184953	30	1	18.5068811542374
ENSMUSG00000000296	0.0610119047619048	0.732142857142857	0.140879370162797	30	28	5.95258042315034
ENSMUSG00000000301	0.00173611111111111	0.0208333333333333	0.0970213849287169	30	1	5.61970898721824
ENSMUSG00000000303	0.0610119047619048	0.732142857142857	0.140879370162797	30	28	439.942254569731
ENSMUSG00000000305	0.178869047619048	1	0.23010556835923	24	22	5.3938527450804
ENSMUSG00000000308	0.108680555555556	1	0.176103411680245	30	22	48.5374682621244
ENSMUSG00000000317	0.0311507936507937	0.373809523809524	0.119493090962832	18	10	36.5713441286214
ENSMUSG00000000318	0.0610119047619048	0.732142857142857	0.140879370162797	18	4	10.8790199073057
ENSMUSG00000000320	0.0610119047619048	0.732142857142857	0.140879370162797	30	28	8.39649416764419
ENSMUSG00000000325	0.0610119047619048	0.732142857142857	0.140879370162797	24	10	63.4685170362805
ENSMUSG00000000326	0.0311507936507937	0.373809523809524	0.119493090962832	30	25	64.8490598307266
ENSMUSG00000000339	0.178869047619048	1	0.23010556835923	24	10	31.7537878170996
ENSMUSG00000000340	0.0610119047619048	0.732142857142857	0.140879370162797	18	16	23.02778367073
ENSMUSG00000000346	0.0610119047619048	0.732142857142857	0.140879370162797	30	16	788.016371635499
ENSMUSG00000000355	0.398759920634921	1	0.421459911230557	30	7	51.8668746595492
ENSMUSG00000000359	0.178869047619048	1	0.23010556835923	18	16	40.3293576074003
ENSMUSG00000000365	0.0610119047619048	0.732142857142857	0.140879370162797	24	16	1.01044434501497
ENSMUSG00000000374	0.108680555555556	1	0.176103411680245	18	4	43.0635552154627
ENSMUSG00000000378	0.275099206349206	1	0.310158761184953	30	7	74.4721310862615
ENSMUSG00000000381	0.47358630952381	1	0.484506178313823	0	NA	0
ENSMUSG00000000384	0.178869047619048	1	0.23010556835923	30	19	42.5666844188846
ENSMUSG00000000385	0.0141369047619048	0.169642857142857	0.106497605572486	18	4	145.971522713674
ENSMUSG00000000386	0.398759920634921	1	0.421459911230557	30	4	12.5801088203045
ENSMUSG00000000392	0.00173611111111111	0.0208333333333333	0.0970213849287169	24	10	8.8318343735167
ENSMUSG00000000394	0.47358630952381	1	0.484506178313823	0	NA	0
ENSMUSG00000000399	0.0311507936507937	0.373809523809524	0.119493090962832	18	1	37.0720637771677
ENSMUSG00000000402	0.178869047619048	1	0.23010556835923	30	7	127.661104302653
ENSMUSG00000000409	0.178869047619048	1	0.23010556835923	18	16	36.0280783819609
ENSMUSG00000000411	0.226984126984127	1	0.289229258713795	30	19	0.848135693291941
ENSMUSG00000000416	0.0610119047619048	0.732142857142857	0.140879370162797	24	1	44.9919167764358
ENSMUSG00000000420	0.178869047619048	1	0.23010556835923	18	13	127.461901696481
ENSMUSG00000000435	0.0848462301587302	1	0.176103411680245	30	7	0.875671487653851
ENSMUSG00000000439	0.0141369047619048	0.169642857142857	0.106497605572486	18	13	11.9531140219495
ENSMUSG00000000440	0.00550595238095238	0.0660714285714286	0.0970213849287169	18	7	6.54527786451604
ENSMUSG00000000441	0.178869047619048	1	0.23010556835923	24	22	46.4218395399287
ENSMUSG00000000486	0.398759920634921	1	0.421459911230557	30	10	37.1658434999435
ENSMUSG00000000489	0.0610119047619048	0.732142857142857	0.140879370162797	24	4	249.304315679092
ENSMUSG00000000530	0.0610119047619048	0.732142857142857	0.140879370162797	30	13	334.810775541469
ENSMUSG00000000531	0.178869047619048	1	0.23010556835923	30	13	54.479266388639
ENSMUSG00000000532	0.108680555555556	1	0.176103411680245	30	16	74.4282491547344
ENSMUSG00000000538	0.0311507936507937	0.373809523809524	0.119493090962832	18	7	33.4561054236429
ENSMUSG00000000544	0.275099206349206	1	0.310158761184953	30	19	0.326681363317185
ENSMUSG00000000552	0.178869047619048	1	0.23010556835923	18	10	27.9535463453742
ENSMUSG00000000555	0.178869047619048	1	0.23010556835923	30	13	67.8278586681477
ENSMUSG00000000561	0.0610119047619048	0.732142857142857	0.140879370162797	24	7	58.5651312207605
ENSMUSG00000000562	0.178869047619048	1	0.23010556835923	30	22	1.94086481533252
ENSMUSG00000000563	0.0610119047619048	0.732142857142857	0.140879370162797	18	4	146.144295218054
ENSMUSG00000000567	0.0610119047619048	0.732142857142857	0.140879370162797	24	13	1.66756769398865
ENSMUSG00000000568	0.0610119047619048	0.732142857142857	0.140879370162797	24	13	73.8138048476234
ENSMUSG00000000579	0.143774801587302	1	0.228329585780715	30	16	0.470231643993197
ENSMUSG00000000581	0.108680555555556	1	0.176103411680245	18	10	51.9606816770287
ENSMUSG00000000594	0.275099206349206	1	0.310158761184953	30	28	46.7365485345859
ENSMUSG00000000600	0.275099206349206	1	0.310158761184953	24	22	115.395564223172
ENSMUSG00000000605	0.0610119047619048	0.732142857142857	0.140879370162797	18	4	152.991835726441
ENSMUSG00000000617	0.108680555555556	1	0.176103411680245	30	16	0.354873861221519
ENSMUSG00000000627	0.108680555555556	1	0.176103411680245	18	1	54.6972945339536
ENSMUSG00000000628	0.0141369047619048	0.169642857142857	0.106497605572486	30	10	12.37457638403
ENSMUSG00000000631	0.0610119047619048	0.732142857142857	0.140879370162797	18	1	201.276941972025
ENSMUSG00000000632	0.00982142857142857	0.117857142857143	0.106497605572486	30	16	0.684630870738427
ENSMUSG00000000673	0.0610119047619048	0.732142857142857	0.140879370162797	30	10	6.87199022923223
ENSMUSG00000000682	0.178869047619048	1	0.23010556835923	30	10	96.9483599646282
